#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
,World,"455,755,164","+697,715","6,059,507","+2,168","389,572,369","+557,143","60,123,288","66,253","58,469",777.4,,,
1,USA,"81,154,960",,"993,044",,"55,757,373",,"24,404,543","4,604","242,776","2,971","963,805,880","2,883,239","334,278,850"
2,India,"42,987,875",,"515,833",,"42,431,513",,"40,529","8,944","30,642",368,"777,758,414","554,392","1,402,902,454"
3,Brazil,"29,305,114",,"654,612",,"27,556,598",,"1,093,904","8,318","136,233","3,043","63,776,166","296,482","215,109,695"
4,France,"23,381,279",,"140,029",,"22,087,797",,"1,153,453","1,928","356,872","2,137","246,629,975","3,764,348","65,517,319"
5,UK,"19,530,485",,"162,738",,"18,229,317",,"1,138,430",253,"285,167","2,376","489,876,300","7,152,739","68,487,936"
6,Russia,"17,290,197","+48,154","360,215",+630,"15,351,778","+156,851","1,578,204","2,300","118,393","2,467","273,400,000","1,872,089","146,040,091"
7,Germany,"16,881,948",,"125,911",,"13,273,700","+120,400","3,482,337","2,494","200,412","1,495","104,701,826","1,242,956","84,236,156"
8,Turkey,"14,513,774",,"96,217",,"14,065,761",,"351,796",975,"169,019","1,120","147,898,704","1,722,343","85,870,645"
9,Italy,"13,268,459",,"156,649",,"12,135,331",,"976,479",545,"219,998","2,597","191,812,811","3,180,356","60,311,750"
10,Spain,"11,223,974",,"101,135",,"10,294,394",,"828,445",689,"239,904","2,162","471,036,328","10,068,031","46,785,347"
11,Argentina,"8,967,210",,"127,051",,"8,762,697",,"77,462",759,"195,382","2,768","34,739,380","756,920","45,895,724"
12,Iran,"7,117,544",,"138,711",,"6,768,271",,"210,562","3,069","82,948","1,617","48,108,485","560,658","85,807,110"
13,Netherlands,"7,055,814",,"21,688",,"5,414,887",,"1,619,239",162,"410,249","1,261","21,107,399","1,227,255","17,198,870"
14,S. Korea,"6,206,277","+383,651","10,144",+269,N/A,N/A,N/A,"1,066","120,877",198,"15,804,065","307,809","51,343,665"
15,Colombia,"6,075,656",,"139,255",,"5,906,638",,"29,763",342,"117,295","2,688","33,481,801","646,390","51,798,170"
16,Indonesia,"5,878,910","+14,900","151,951",+248,"5,369,579","+33,733","357,380","2,771","21,116",546,"88,910,570","319,357","278,404,860"
17,Poland,"5,811,109","+11,116","113,434",+127,"5,174,477","+4,920","523,198",508,"153,828","3,003","34,506,647","913,439","37,776,640"
18,Japan,"5,665,636","+56,540","25,860",+163,"5,046,887","+75,586","592,889","1,204","45,029",206,"40,838,646","324,572","125,822,893"
19,Mexico,"5,599,284","+7,413","320,851",+244,"4,887,459","+7,285","390,974","4,798","42,671","2,445","15,328,170","116,814","131,218,882"
20,Vietnam,"5,448,935",,"41,228",,"2,983,222",,"2,424,485","3,990","55,142",417,"81,001,418","819,714","98,816,731"
21,Ukraine,"4,894,331",,"106,985",,N/A,N/A,N/A,177,"113,058","2,471","19,521,252","450,939","43,290,255"
22,Malaysia,"3,774,786",,"33,643",,"3,418,443",,"322,700",380,"114,160","1,017","51,833,725","1,567,595","33,065,773"
23,Israel,"3,707,477",,"10,359",,"3,652,205",,"44,913",388,"397,542","1,111","41,373,364","4,436,346","9,326,000"
24,South Africa,"3,691,962",,"99,709",,"3,572,534",,"19,719",546,"60,953","1,646","23,365,475","385,756","60,570,545"
25,Czechia,"3,678,771","+8,365","39,126",+5,"3,564,211","+9,519","75,434",121,"342,450","3,642","53,053,614","4,938,658","10,742,517"
26,Philippines,"3,670,177",+655,"57,441",+124,"3,565,984",+894,"46,752",289,"32,757",513,"28,506,581","254,427","112,042,205"
27,Belgium,"3,640,052","+10,381","30,408",+28,"3,355,843","+22,307","253,801",185,"311,788","2,605","32,112,055","2,750,554","11,674,761"
28,Australia,"3,567,219","+31,599","5,571",+22,"3,268,084",,"293,564",97,"137,205",214,"64,539,476","2,482,366","25,999,181"
